Despesas por função - educação e cultura - municipal
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;
AC;1200013;Acrelândia;7154291,83;8329198,26;11492929,83;;9197409,14;11156372,03;11359616,61;12880084,22;
AC;1200054;Assis Brasil;3785617,55;4606246,29;5654943,63;5720161,56;6152052,07;6476546,51;7268840,04;6729023,96;
AC;1200104;Brasiléia;9745443,31;10585531,27;12058270,01;10472747,07;13116803,36;15150982,42;16976897,54;16065939,16;
AC;1200138;Bujari;4157765,62;4399204,22;6349637,73;6292166,9;7416192,45;10838316,44;8945490,01;6948108,82;
AC;1200179;Capixaba;4357863,31;5237955,6;6742931,67;7956652,18;7382964,46;8507066,36;10781299,8;10009865,4;
AC;1200203;Cruzeiro do Sul;22991909,02;28062079,14;31949383,15;36706974,52;48753213,9;47682558,03;51313140,38;47960405,63;
AC;1200252;Epitaciolândia;6417610,93;7899334,59;8652623,5;8590864;;9593217,87;11213381,41;11094247,12;
AC;1200302;Feijó;14772276,77;17345104,53;;17134119,12;18128069,3;18676843,8;20291962,42;23080389,71;
AC;1200328;Jordão;6791340,51;8468609,08;9681532,44;9115175,12;10248388,61;11167285,83;11213097,03;12533744,41;
AC;1200336;Mâncio Lima;8476873,93;9510925,08;12369234,77;12358811,68;14375202,88;14233167,91;17415164,41;16436560,2;
AC;1200344;Manoel Urbano;4628886,55;503534171;7331659,73;6257859,16;6606799,36;7409582,12;7685531,21;7598844,47;
AC;1200351;Marechal Thaumaturgo;15416738,58;14810373,87;17966859,71;21060697;21733726,32;24225824,56;25025067,51;26107353,71;
AC;1200385;Plácido de Castro;7328200;9259171,64;9626693,65;8636112,31;10261131,56;10713745,79;10259617,79;10785091,35;
AC;1200393;Porto Walter;6647671,19;7486321,28;7913931,28;8877191,59;10667363,73;11855317,82;13312624,36;13097971,19;
AC;1200401;Rio Branco;64252749,86;82248646,12;97052206,83;115024016,89;128524540,27;135639263,1;147581819,71;143271592,43;
AC;1200427;Rodrigues Alves;8872122,3;11347677,57;9763053,09;12959767,13;;19678831,99;20280992,97;17593714,26;
AC;1200435;Santa Rosa do Purus;5027951,41;6694282,75;8175554,9;7514638,77;;8190913,05;9033769,16;9518733,67;
AC;1200450;Senador Guiomard;8226361,15;9860998,8;13147578,89;12567066,61;15818043,23;14700210,47;16454792,69;16514131,78;
AC;1200500;Sena Madureira;14682482,56;19127566,42;24888467,04;26816011,1;;23876174,88;22553998,87;24585344,72;
AC;1200609;Tarauacá;17397302,45;21513415,41;26701812,27;23665865,88;30836031,17;33650870,24;34381487,38;32347038,8;
AC;1200708;Xapuri;4898116,14;5723125,48;6915497,58;6653179,61;7248109,48;6656667,84;8036423,98;7999088,93;
AC;1200807;Porto Acre;6607750,59;7001900,83;7874703,05;9212405,4;8149917,41;8783454,24;8979356,71;9617878,19;
AL;2700102;Água Branca;9876627,37;12793266,32;15864803,51;15345031,74;17184741,85;20080974,6;22582758,86;22178438,75;
AL;2700201;Anadia;8814236,13;9473866,94;10249912,86;11160207,76;12554463,37;13349942,8;14813271,37;0;
AL;2700300;Arapiraca;68122179,15;82924686,35;100689644,55;98393768,65;111307630,25;119822810,54;145493696,21;125258081,17;
AL;2700409;Atalaia;22823477,18;27265225,57;29094613,3;33614326,43;29583990,97;34624310,82;30827587,09;42727506,98;
AL;2700508;Barra de Santo Antônio;8561392,41;9886627,63;11089601,13;12099660,9;13301256,12;15351685,16;16037674,06;13097751;
AL;2700607;Barra de São Miguel;5171172,2;7020973,76;6182857,89;6892067,59;8560032,82;9826104,09;11042286,57;10001426,18;
AL;2700706;Batalha;7695565,22;9424151,87;9897230,53;12090180,36;13309008,32;16195442,57;16972267,06;15955153,66;
AL;2700805;Belém;4674000,08;5390338,89;;5238254,49;;;;;
AL;2700904;Belo Monte;5551372,56;6109345,47;7612450,78;6932455,69;7333020,99;7306255,34;7865404,63;8776748,27;
AL;2701001;Boca da Mata;13095829,97;17108812,21;18472747,83;19748366,81;20275512,04;21674024,83;23206897,44;22205771,01;
AL;2701100;Branquinha;7662362,4;8265911,45;9416885,79;10771634,94;11214592,84;15578653,27;13784489,97;12912729,53;
AL;2701209;Cacimbinhas;5454652,39;6314544,28;8398817,83;8339390,23;10686976,11;11254275,64;10947717,62;13416220,97;
AL;2701308;Cajueiro;11328358,25;;;14945158,18;19984484,1;20848270,24;26372593,75;20856895,92;
AL;2701357;Campestre;5120007,86;5089509,27;5584304,52;6668267,41;7234958,32;7520836,18;7517534,34;7937248,95;
AL;2701407;Campo Alegre;17595863,32;20298131,54;29940373,58;27799399,44;;37800576,19;;;
AL;2701506;Campo Grande;6937380,14;9154123,65;10386386,17;11589522,62;;;;12129509,4;
AL;2701605;Canapi;11823688,17;13471490,2;14208545,84;;20587500,7;23597102,04;;22934136,52;
AL;2701704;Capela;10865475,81;13666067,15;15841523,27;15273450,62;17467195,17;19380553,72;36506570,24;21437333,59;
AL;2701803;Carneiros;5762448,34;;;;;8530294,48;;;
AL;2701902;Chã Preta;4762269,16;5105363,55;;5463675,32;6854903,96;6368842,5;6874787,73;8228129,86;
AL;2702009;Coité do Nóia;6370668,22;7636696,12;9578552,78;8351814,8;10550481,5;10505771,93;10350374,11;12353885,27;
AL;2702108;Colônia Leopoldina;10169617,37;14332494,94;14933441,82;13872622,68;15811872,4;15975528,44;16528736,59;;
AL;2702207;Coqueiro Seco;3362262,3;3956926,72;4666580,92;4350665,28;4667808,87;5245222,42;5761357,05;6249582,08;
AL;2702306;Coruripe;32789424,85;39631256,25;44720385,87;40320197,85;52243735,59;56085543,76;58831889,39;56401434,36;
AL;2702355;Craíbas;13025988,26;15182777,49;19241311,51;0;19508074,27;19911375,42;21649383,29;22867808,67;
AL;2702405;Delmiro Gouveia;21448800,09;25604962,02;31856922,44;31134592,18;34127388,64;36773375,53;39783157,14;38277379,89;
AL;2702504;Dois Riachos;7896727,11;8839020,22;10503646,02;11449330,48;11967670,63;14344034,57;16166979,78;14163443,87;
AL;2702553;Estrela de Alagoas;10812063,38;10186531,23;10708362,55;12022668,99;15157981,04;15067084,54;17337103,98;20341195,6;
AL;2702603;Feira Grande;11423064,83;12400158,15;19717945,48;17221032,25;20978341,73;21783648,8;23273209,76;21233480,88;
AL;2702702;Feliz Deserto;2945870,79;3592716,02;3683662,11;4329989,06;4932982,21;4583048,95;5255595,39;5140978,88;
AL;2702801;Flexeiras;9331522,62;11754568,62;;;;;;;
AL;2702900;Girau do Ponciano;24902525,15;23875834,44;33306592,32;;35317871,38;38420714,85;38914323,18;40014572,52;
AL;2703007;Ibateguara;7938086,2;9325192,25;9635795,67;11694248,93;13493510,4;13288941,44;14423423,13;14131734,37;
