Despesas por função - saúde e saneamento - municipal
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;
AC;1200013;Acrelândia;3881424,94;4821975,33;3951663,3;;4755931,08;4772395,96;5741157,07;5275391,56;
AC;1200054;Assis Brasil;2821856,43;3319189,31;2310338,07;2110488,21;2441418,02;3596657,83;2504650,06;3021912,71;
AC;1200104;Brasiléia;4281424,66;5600389,58;6179833,72;6768395,62;8156660,15;7830334,86;8850156,51;8847468,11;
AC;1200138;Bujari;1613437,22;1887993,05;2309339,57;3102320,37;3216926;3152347,97;4355816,79;3074515,76;
AC;1200179;Capixaba;1734383,44;2096723,21;2335499,14;3138360,55;3055012,71;3169710,81;4502162,91;551886,56;
AC;1200203;Cruzeiro do Sul;13364320,98;17374373,51;21666119,65;23555526,43;28816138,36;24732047,2;28386006,96;29711134,88;
AC;1200252;Epitaciolândia;2921857,39;3723087,39;4365916,62;4341511,35;;4437114,22;6731593,2;7022824,21;
AC;1200302;Feijó;6838454,75;5957247,83;;6437591,89;6930946,99;7012941,27;9347693,36;8135373,21;
AC;1200328;Jordão;2576241,27;2931104,61;2418998,39;2319081,61;3205665,6;3206226,22;3758024,94;2853944,61;
AC;1200336;Mâncio Lima;4246742,9;4729976,33;4954685,9;0;5820892,51;4888735,16;5469564,39;5603393,75;
AC;1200344;Manoel Urbano;2891855,91;312292653;2810216,52;2332549,09;2572198,85;2518760,05;3440628,44;3372104,47;
AC;1200351;Marechal Thaumaturgo;4384509,75;4170095,55;3818575,33;4466272,66;5492073,51;4902638,34;6016701,02;5626636,61;
AC;1200385;Plácido de Castro;4904600,44;1111428,6;4385258,79;3864074,67;4340515,96;3701621,39;4902055,73;3856542,89;
AC;1200393;Porto Walter;2874534,25;3447902,58;2857563,12;2352731,34;2907414,3;2952688,6;4300746,02;5429590,13;
AC;1200401;Rio Branco;85984916,71;97337087,34;106824742,73;106280975,9;124426101,04;122053244,14;124390449,9;125157044,03;
AC;1200427;Rodrigues Alves;2018181,96;3884605,29;3828376,4;3898936,63;;4228550,43;6545145,81;6126645,77;
AC;1200435;Santa Rosa do Purus;3293801,87;3882648,98;2628914,15;2567569,14;;1964597,95;2451799,79;2367653,39;
AC;1200450;Senador Guiomard;4783607,23;5998992,15;5961525,8;6457100,9;8433419,01;6728946,03;7833904,14;9840359,81;
AC;1200500;Sena Madureira;7153259,82;9038376,79;8971331,73;11895307,74;;11643716,2;12397809,93;11779424,74;
AC;1200609;Tarauacá;3978050,93;7900526,15;8600501,79;7884379,7;10420355;10618371,98;11822423,59;10337794,24;
AC;1200708;Xapuri;2807165,54;3531345,34;4463318,06;4651470,69;6227187,9;5087400,44;6984463,9;6045096,8;
AC;1200807;Porto Acre;2938877,64;3576811,11;4577732,07;4198700,7;5490051,16;5780592,12;6356060,12;5581745,03;
AL;2700102;Água Branca;4910460,48;5547704,01;6765014,07;7078224,39;7205888,01;6303913,42;7791564,14;7407050,72;
AL;2700201;Anadia;5285130,72;4796284,58;8254975,4;7877008,79;7067122,7;8853411,72;10717405,53;0;
AL;2700300;Arapiraca;109660113,16;132404615,63;147673919,64;157044172,04;182006419,56;222445807,34;196384019,32;201070004,52;
AL;2700409;Atalaia;11657059,48;12973334,42;14699933,81;16241518,25;16805966,48;20823432,25;17640648,81;20776547,48;
AL;2700508;Barra de Santo Antônio;5320155,61;5899584,11;6352595,4;8397254,96;7284594,28;6964453,94;10818039,13;6887069,77;
AL;2700607;Barra de São Miguel;18245301,61;10946167,34;8183203,24;5675313,66;5589350,9;5312998,19;5489758,02;5410035,55;
AL;2700706;Batalha;5781487,06;8510650,48;7819585,59;8859259,31;10109980,79;10012555,21;11840484,5;11670069,15;
AL;2700805;Belém;2023090,77;2439022,95;;2929035,75;;;;;
AL;2700904;Belo Monte;2178718,5;2511548,85;2873038,81;2588572,7;3490331,31;3111845,23;3851219,4;3624419,64;
AL;2701001;Boca da Mata;9172936,94;10301729,07;16462404,59;13269501,3;16264196,38;15790975,5;18432348,06;19696322,46;
AL;2701100;Branquinha;3054012,7;3884206,3;4281868,1;5268855,39;6021745,41;6441781,62;7238665;6695844,74;
AL;2701209;Cacimbinhas;3087834,28;4071893,15;4364122,63;4383448,73;5321772,67;5428349,66;5736312,35;5784449,41;
AL;2701308;Cajueiro;8391811,44;;;10665804;10720935,71;12373885,2;17912116,9;14580327,14;
AL;2701357;Campestre;1903636,27;2137146,77;1030971,52;1096861,88;1612540,98;1951091,24;3285043,44;4380868,43;
AL;2701407;Campo Alegre;8693630,52;9660366,42;10276928,71;14028533,18;;21024090,75;;;
AL;2701506;Campo Grande;2735364,44;3527354,67;4363050,09;4633169,25;;;;6087189,07;
AL;2701605;Canapi;3519051,22;5211348,99;5232250,48;;5269392,3;5582267,48;;6993182,34;
AL;2701704;Capela;6282725,59;7417314,64;7038309,76;8336877,57;8953088,89;11077675,56;12793334,22;13308300,01;
AL;2701803;Carneiros;2180457,24;;;;;3183301,95;;;
AL;2701902;Chã Preta;2077460,69;2942215,38;;2893058,71;3611299,79;3406447,57;4087759,23;4407507,34;
AL;2702009;Coité do Nóia;3089493,65;3459680,78;4289914,62;4230270,41;4081818;4804148,42;4973666,2;6042136,49;
AL;2702108;Colônia Leopoldina;6019838,87;7447863,49;8219120,31;8831219,61;10088869,91;9347923,62;9248772,17;;
AL;2702207;Coqueiro Seco;1920425,91;1953556,57;3156077,21;2858784,49;3081801,04;2861169,41;3824807,65;5823085,52;
AL;2702306;Coruripe;22821265,17;26525841,96;35263046,1;41595487,69;42154584,49;44678857,1;47868365,75;53227152,54;
AL;2702355;Craíbas;5855599,42;6384358,71;7411597,5;0;9839654,19;10178944,08;12739638,05;12319441,35;
AL;2702405;Delmiro Gouveia;13380257,47;16605042,99;19941296,37;18360198,88;20865425,69;26718109,56;32075229,89;31531185,68;
AL;2702504;Dois Riachos;3028398,21;3266556,1;4022429,99;4484893,7;4769206,89;4628622,87;5178690,74;4768258,74;
AL;2702553;Estrela de Alagoas;5138783,33;5286953,26;5220450,49;5189687,25;7377656,85;6427536,65;6570050,7;7116587,33;
AL;2702603;Feira Grande;5695673,45;5524463,36;7348599,45;7363941,37;8430032,15;9070641,84;7720670,01;9069446,11;
AL;2702702;Feliz Deserto;1989824,37;2312767,57;2606654,04;2462680,03;2713894,19;2740158,1;2973526,83;2573647,71;
AL;2702801;Flexeiras;3909814,36;3742247,93;;;;;;;
AL;2702900;Girau do Ponciano;9741580,92;10014967,65;10541036,23;;15992549,96;14534565,38;16801943,84;13944659,55;
AL;2703007;Ibateguara;4386397,13;6074326,53;6759407,56;6999468,11;6569159,22;7407865,81;7611733,94;7369580,6;
AL;2703106;Igaci;3077525,66;;9203683,03;11397843,73;12379161,47;14246322,99;17292010,08;14889942,22;
AL;2703205;Igreja Nova;7157699,31;7240883,08;8027016,74;11340666,6;12560439,05;11004606,41;10399633,14;12539796,1;
AL;2703304;Inhapi;3507924,02;;;5599839,23;8031319,29;7086610,09;5196018,77;8831306,09;
AL;2703403;Jacaré dos Homens;2138683,83;2363185,43;2645165,41;2878863,32;2827516,47;2933130,03;3607430,22;3788758,9;
AL;2703502;Jacuípe;2185855,95;2240730,82;2332289,54;2742413,87;3821577,12;2584449,16;3024849,01;3792859,59;
AL;2703601;Japaratinga;;;;2579718,45;2919622,95;3099153,82;;;
AL;2703700;Jaramataia;2104142,6;2715748,95;2858334,63;3064849,87;;;;3948468,09;
AL;2703759;Jequiá da Praia;3852614,53;5002009,11;;6529500,89;8998454,88;8373624,79;8397146,99;8625081,94;
AL;2703809;Joaquim Gomes;10205169,22;9467163,74;10066801,42;;4243387,28;11698023,4;;11881790,18;
AL;2703908;Jundiá;2045016,8;2124968,24;2546513,88;2370255,93;2621773,76;2805414,8;3334949,54;3354619,61;
AL;2704005;Junqueiro;5559301,08;9084383,46;10295665,19;;;;;;
AL;2704104;Lagoa da Canoa;5324810,89;6827742,98;;8712592,04;9330965,43;8998404,98;10137637,96;9267914,67;
AL;2704203;Limoeiro de Anadia;6652574,29;6975620,88;7349980,98;10581090,24;13684246,35;11966258,39;11886483,52;12966151,98;
AL;2704302;Maceió;430082356,24;543118476,22;567228181,98;629491885;566993491,9;537683355,85;608871074;657151551,05;
AL;2704401;Major Isidoro;5599869,28;5911488,36;7483872,21;8706012,29;10254529,26;10315022,12;10838570,83;11511983,86;
