Taxa de homicídios (100.000 Habitantes)
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;
AC;1200013;Acrelândia;39,8311160679;15,596974187;7,6394194041;29,9558151726;29,385836027;21,6340953342;49,5750708215;33,8272106082;33,2889480692;
AC;1200054;Assis Brasil;;32,1853878339;15,7529930687;30,8641975309;;14,847809948;29,1417747341;55,7025483916;109,5890410959;
AC;1200104;Brasiléia;28,0059746079;31,9328497788;17,8459891139;30,5690204812;29,9401197605;12,5801987671;32,9069145654;35,4135515857;27,0813989477;
AC;1200138;Bujari;;11,5513457318;11,3237458951;11,1074086416;10,9027474924;53,5561268209;52,6149636957;20,0924251557;39,5608742953;
AC;1200179;Capixaba;22,7040526734;10,9229929001;31,5855969678;20,3334688898;9,8357430904;38,0952380952;27,7264325323;44,7427293065;96,0195530726;
AC;1200203;Cruzeiro do Sul;21,6279483983;20,2017651292;28,8249448566;12,4413700437;14,8234160562;15,9470068695;28,0231495583;60,9454595633;63,8737125455;
AC;1200252;Epitaciolândia;13,22926313;6,472910868;44,3711967546;31,0578296789;12,1802679659;17,9254302103;29,3461673905;33,6511497476;22,0726189162;
AC;1200302;Feijó;21,570983945;30,8289915837;30,8413520849;21,5976057511;15,4325750795;30,882307526;21,6236253552;46,284243108;43,2588320115;
AC;1200328;Jordão;;;43,0910657857;13,9918847069;27,2814077206;13,3226751932;78,0741704619;25,0031253907;;
AC;1200336;Mâncio Lima;6,5685759327;32,0020481311;6,2421972534;18,281535649;11,9083060435;23,2937339856;11,3992590482;27,3268841887;37,5576778624;
AC;1200344;Manoel Urbano;;24,6184145741;24,2248062016;71,5478177916;35,2485019387;11,5767538782;22,8180262407;43,4216239687;;
AC;1200351;Marechal Thaumaturgo;7,0204998596;13,5244793075;;12,6127262408;6,1053788388;5,9185606061;11,4935923223;;;
AC;1200385;Plácido de Castro;17,4114915844;22,9607944435;39,7523993412;16,8586681652;16,6870619646;27,5375888087;54,537521815;25,8184446969;30,6670074112;
AC;1200393;Porto Walter;;;30,525030525;;9,5657164722;;9,0424088977;17,4581005587;;
AC;1200401;Rio Branco;29,4253146874;22,7111261225;28,827162608;37,5146279053;41,2169440109;34,0036000637;62,5900062855;82,041101579;60,0765290224;
AC;1200427;Rodrigues Alves;20,8246563932;;6,4708166171;6,2625250501;24,2821586839;11,7806444012;;44,2624764856;10,8084738435;
AC;1200435;Santa Rosa do Purus;;;;;;17,2146668962;;48,5358356253;15,7183275699;
AC;1200450;Senador Guiomard;19,7990397466;29,4059988238;24,2694883992;48,0792345786;14,2932012006;42,4848942598;46,7967616641;48,6876466162;52,6085050416;
AC;1200500;Sena Madureira;23,6375574524;33,48013083;40,4295641188;42,1721118305;26,8050783439;23,9520958084;16,4895997739;40,4503471988;19,9216415433;
AC;1200609;Tarauacá;5,6127746752;16,5348471905;40,6140849647;15,9697639137;26,1780104712;25,7605811587;27,8996626677;33,8335870852;35,734705546;
AC;1200708;Xapuri;6,2073246431;24,3649875129;5,9805035584;41,1256682921;11,5493445747;11,3597637169;44,7077232592;31,9676061591;5,2498950021;
AC;1200807;Porto Acre;20,1369311317;26,1797238039;12,7738391774;37,4321542205;48,7834624062;17,9029659247;46,7535503477;78,4181930208;22,00220022;
AL;2700102;Água Branca;19,9322304166;19,8659051403;43,9324416675;9,7347286444;29,1262135922;34,2616612011;29,3800803056;9,9378881988;19,8393016566;
AL;2700201;Anadia;27,7069710739;16,6426273161;49,9805631143;61,1484796264;94,6073793756;44,8304847296;44,8631673396;45,4959053685;34,1607834206;
AL;2700300;Arapiraca;71,7373061062;77,2866575531;62,413406931;67,2113863996;68,4686570549;61,0323558056;65,3282961779;60,246486713;44,2675670632;
